metric,ferrite,case,value,unit,method
gain_variation_vs_100k,LOW_60OHM_100MHZ,low_100000,0.0,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,low_100000,0.0004193590399994495,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,low_20000,-0.017252755660000004,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,low_20000,0.00041846171000059593,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,low_10000,-0.0387706207399995,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,low_10000,0.0004173451199995681,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,nominal_100000,0.0,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,nominal_100000,0.0004192265299989233,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,nominal_20000,-0.017252755850001418,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,nominal_20000,0.0004183293800002903,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,nominal_10000,-0.03877062112000046,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,nominal_10000,0.0004172130000007566,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,high_100000,0.0,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,high_100000,0.0004192017699994557,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,high_20000,-0.017252755250001073,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,high_20000,0.00041830410000007884,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,LOW_60OHM_100MHZ,high_10000,-0.0387706198000017,dB,AC_SMALL_SIGNAL
passband_peak,LOW_60OHM_100MHZ,high_10000,0.00041718703999972864,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,low_100000,0.0,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,low_100000,0.00041934051000140377,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,low_20000,-0.017270075799999698,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,low_20000,0.0004184432599993171,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,low_10000,-0.03880949456000108,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,low_10000,0.00041732672000160866,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,nominal_100000,0.0,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,nominal_100000,0.0004191731800014205,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,nominal_20000,-0.01727007610999967,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,nominal_20000,0.0004182762200011398,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,nominal_10000,-0.03880949524000014,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,nominal_10000,0.0004171600900000911,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,high_100000,0.0,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,high_100000,0.0004190184300016754,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,high_20000,-0.017270076029999273,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,high_20000,0.00041812149999962604,dB,AC_SMALL_SIGNAL
gain_variation_vs_100k,HIGH_220OHM_100MHZ,high_10000,-0.03880949506999892,dB,AC_SMALL_SIGNAL
passband_peak,HIGH_220OHM_100MHZ,high_10000,0.00041700538999910167,dB,AC_SMALL_SIGNAL
quasistatic_thd_estimate,LOW_60OHM_100MHZ,10000,7.429731477595778e-07,%,QUASI_STATIC_TRANSFER_DERIVED_HARMONIC_ESTIMATE
severe_3p21vrms_output,LOW_60OHM_100MHZ,10000,6.3732343420046895,Vrms,QUASI_STATIC_DC_TRANSFER
quasistatic_thd_estimate,LOW_60OHM_100MHZ,600,7.658965462187582e-07,%,QUASI_STATIC_TRANSFER_DERIVED_HARMONIC_ESTIMATE
severe_3p21vrms_output,LOW_60OHM_100MHZ,600,5.913103727606488,Vrms,QUASI_STATIC_DC_TRANSFER
quasistatic_thd_estimate,HIGH_220OHM_100MHZ,10000,5.990999085699284e-07,%,QUASI_STATIC_TRANSFER_DERIVED_HARMONIC_ESTIMATE
severe_3p21vrms_output,HIGH_220OHM_100MHZ,10000,6.373202653887567,Vrms,QUASI_STATIC_DC_TRANSFER
quasistatic_thd_estimate,HIGH_220OHM_100MHZ,600,6.362229896200388e-07,%,QUASI_STATIC_TRANSFER_DERIVED_HARMONIC_ESTIMATE
severe_3p21vrms_output,HIGH_220OHM_100MHZ,600,5.912648754417065,Vrms,QUASI_STATIC_DC_TRANSFER
