case_id,ferrite,total_gain_db_1khz,worst_replay_error_db,worst_lr_tracking_db,replay_pass,tracking_pass
GRADO78_500_3400_BYPASS_STEREO,LOW_60OHM_100MHZ,34.412322066479625,0.027622828851297365,1.0860000063704989e-07,True,True
GRADO78_500_3400_BYPASS_STEREO,HIGH_220OHM_100MHZ,34.41230045887962,0.027634748251295898,8.980999873314381e-08,True,True
GRADO78_500_3400_FILTER_STEREO,LOW_60OHM_100MHZ,34.41218183947962,,2.0000151656084914e-10,,True
GRADO78_500_3400_FILTER_STEREO,HIGH_220OHM_100MHZ,34.412160231879625,,2.0000151656084914e-10,,True
AT78_200_5800_BYPASS_STEREO,LOW_60OHM_100MHZ,41.81293456318025,0.011988827787796554,2.6000004283825043e-09,True,True
AT78_200_5800_BYPASS_STEREO,HIGH_220OHM_100MHZ,41.812912955540256,0.011988880897796511,2.6000004283825043e-09,True,True
GOLD8MZ_RIAA_BYPASS_STEREO,LOW_60OHM_100MHZ,41.81971589544962,0.00947627204564457,2.1000004949274885e-09,True,True
GOLD8MZ_RIAA_BYPASS_STEREO,HIGH_220OHM_100MHZ,41.819694287969625,0.009476325365644921,2.2000002889063507e-09,True,True
GRADO78_500_3400_BYPASS_MONO,LOW_60OHM_100MHZ,34.39418019917962,,2.9999938186750874e-10,,True
GRADO78_500_3400_BYPASS_MONO,HIGH_220OHM_100MHZ,34.394158591579625,,3.0000034618461366e-10,,True
